qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
XM_028439986.1	Gouania_willdenowi_LR131989.1	100.0	1750	0	0	324	2073	15851282	15853031	0.0	3232
XM_028439986.1	Gouania_willdenowi_LR131989.1	100.0	329	0	0	1	329	15849078	15849406	8.069999999999997e-171	608
XM_028439986.1	Gouania_willdenowiwilldenowi_NC_041066.1_RagTag	99.54299999999999	1750	8	0	324	2073	13029592	13031341	0.0	3188
XM_028439986.1	Gouania_willdenowiwilldenowi_NC_041066.1_RagTag	99.696	329	1	0	1	329	13027355	13027683	3.749999999999998e-169	603
XM_028439986.1	Gouania_orientalis_NC_041066.1_RagTag	99.54299999999999	1750	8	0	324	2073	13926175	13927924	0.0	3188
XM_028439986.1	Gouania_orientalis_NC_041066.1_RagTag	99.088	329	3	0	1	329	13923456	13923784	8.129999999999997e-166	592
XM_028439986.1	Gouania_hofrichteri_NC_041066.1_RagTag	99.486	1750	9	0	324	2073	13283702	13285451	0.0	3182
XM_028439986.1	Gouania_hofrichteri_NC_041066.1_RagTag	98.78399999999999	329	4	0	1	329	13281225	13281553	3.7799999999999985e-164	586
XM_028439986.1	Gouania_pigra_NC_041066.1_RagTag	99.429	1750	10	0	324	2073	12902910	12904659	0.0	3177
XM_028439986.1	Gouania_pigra_NC_041066.1_RagTag	99.696	329	1	0	1	329	12900543	12900871	3.749999999999998e-169	603
XM_028439986.1	Lepadogaster_lepadogaster_5664043	97.2	1750	49	0	324	2073	4989	3240	0.0	2961
XM_028439986.1	Lepadogaster_lepadogaster_NC_041066.1_RagTag	97.086	1750	51	0	324	2073	11597677	11599426	0.0	2950
XM_028439986.1	Lepadogaster_lepadogaster_NC_041066.1_RagTag	97.13799999999999	1712	49	0	362	2073	11602766	11604477	0.0	2891
XM_028439986.1	Lepadogaster_lepadogaster_NC_041066.1_RagTag	95.441	329	15	0	1	329	11595695	11596023	8.359999999999996e-146	525
XM_028439986.1	Salarias_fasciatus_CABFVM010001214.1	79.499	1356	262	8	324	1668	307967	306617	0.0	950
XM_030110428.1	Salarias_fasciatus_CABFVM010001214.1	99.715	1755	5	0	309	2063	307967	306213	0.0	3214
XM_030110428.1	Salarias_fasciatus_CABFVM010001214.1	99.365	315	2	0	1	315	308830	308516	1.0499999999999997e-159	571
XM_030110428.1	Lepadogaster_lepadogaster_5664043	79.941	1356	256	13	309	1659	4989	3645	0.0	983
XM_030110428.1	Lepadogaster_lepadogaster_NC_041066.1_RagTag	79.911	1344	254	13	309	1647	11597677	11599009	0.0	972
XM_030110428.1	Lepadogaster_lepadogaster_NC_041066.1_RagTag	79.709	1306	249	13	347	1647	11602766	11604060	0.0	929
XM_030110428.1	Gouania_willdenowiwilldenowi_NC_041066.1_RagTag	79.836	1344	255	7	309	1647	13029592	13030924	0.0	966
XM_030110428.1	Gouania_orientalis_NC_041066.1_RagTag	79.836	1344	255	7	309	1647	13926175	13927507	0.0	966
XM_030110428.1	Gouania_willdenowi_LR131989.1	79.762	1344	256	7	309	1647	15851282	15852614	0.0	961
XM_030110428.1	Gouania_pigra_NC_041066.1_RagTag	79.762	1344	256	7	309	1647	12902910	12904242	0.0	961
XM_030110428.1	Gouania_hofrichteri_NC_041066.1_RagTag	79.688	1344	257	7	309	1647	13283702	13285034	0.0	955
