qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
XM_028439986.1	Gouania_willdenowi_LR131989.1	100.0	1750	0	0	324	2073	15851282	15853031	0.0	3232
XM_028439986.1	Gouania_willdenowi_LR131989.1	100.0	329	0	0	1	329	15849078	15849406	8.069999999999997e-171	608
XM_028439986.1	Gouania_willdenowiwilldenowi_NC_041066.1_RagTag	99.54299999999999	1750	8	0	324	2073	13029592	13031341	0.0	3188
XM_028439986.1	Gouania_willdenowiwilldenowi_NC_041066.1_RagTag	99.696	329	1	0	1	329	13027355	13027683	3.749999999999998e-169	603
XM_028439986.1	Gouania_orientalis_NC_041066.1_RagTag	99.54299999999999	1750	8	0	324	2073	13926175	13927924	0.0	3188
XM_028439986.1	Gouania_orientalis_NC_041066.1_RagTag	99.088	329	3	0	1	329	13923456	13923784	8.129999999999997e-166	592
XM_028439986.1	Gouania_hofrichteri_NC_041066.1_RagTag	99.486	1750	9	0	324	2073	13283702	13285451	0.0	3182
XM_028439986.1	Gouania_hofrichteri_NC_041066.1_RagTag	98.78399999999999	329	4	0	1	329	13281225	13281553	3.7799999999999985e-164	586
XM_028439986.1	Gouania_pigra_NC_041066.1_RagTag	99.429	1750	10	0	324	2073	12902910	12904659	0.0	3177
XM_028439986.1	Gouania_pigra_NC_041066.1_RagTag	99.696	329	1	0	1	329	12900543	12900871	3.749999999999998e-169	603
XM_030110428.1	Salarias_fasciatus_CABFVM010001214.1	99.715	1755	5	0	309	2063	307967	306213	0.0	3214
XM_030110428.1	Salarias_fasciatus_CABFVM010001214.1	99.365	315	2	0	1	315	308830	308516	1.0499999999999997e-159	571
