qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
XM_028458435.1	Gouania_willdenowi_LR131997.1	100.000	6518	0	0	1351	7868	32909503	32902986	0.0	12037
XM_028458435.1	Gouania_willdenowi_LR131997.1	99.717	353	1	0	1006	1358	32910971	32910619	0.0	647
XM_028458435.1	Gouania_willdenowi_LR131997.1	100.000	258	0	0	751	1008	32912907	32912650	9.09e-131	477
XM_028458435.1	Gouania_willdenowi_LR131997.1	100.000	233	0	0	71	303	32921595	32921363	7.18e-117	431
XM_028458435.1	Gouania_willdenowi_LR131997.1	100.000	231	0	0	521	751	32913847	32913617	9.29e-116	427
XM_028458435.1	Gouania_willdenowi_LR131997.1	99.401	167	1	0	354	520	32917387	32917221	1.63e-78	303
XM_028458435.1	Gouania_willdenowi_LR131997.1	100.000	72	0	0	1	72	32944345	32944274	2.27e-27	134
XM_028458435.1	Gouania_willdenowi_LR131997.1	100.000	58	0	0	302	359	32919852	32919795	1.37e-19	108
XM_028458435.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	98.102	6532	63	16	1351	7868	29361898	29355414	0.0	11319
XM_028458435.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	98.584	353	5	0	1006	1358	29363280	29362928	3.07e-175	625
XM_028458435.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	98.837	258	3	0	751	1008	29365411	29365154	9.16e-126	460
XM_028458435.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	99.571	233	1	0	71	303	29373652	29373420	3.34e-115	425
XM_028458435.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	99.567	231	1	0	521	751	29366352	29366122	4.32e-114	422
XM_028458435.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	98.204	167	3	0	354	520	29369227	29369061	3.53e-75	292
XM_028458435.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	100.000	72	0	0	1	72	29395354	29395283	2.27e-27	134
XM_028458435.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	100.000	58	0	0	302	359	29371883	29371826	1.37e-19	108
XM_028458435.1	Gouania_orientalis_NC_041052.1_RagTag	98.024	6528	49	22	1351	7868	31294688	31288231	0.0	11267
XM_028458435.1	Gouania_orientalis_NC_041052.1_RagTag	98.584	353	5	0	1006	1358	31296156	31295804	3.07e-175	625
XM_028458435.1	Gouania_orientalis_NC_041052.1_RagTag	99.225	258	2	0	751	1008	31298242	31297985	1.97e-127	466
XM_028458435.1	Gouania_orientalis_NC_041052.1_RagTag	100.000	233	0	0	71	303	31308886	31308654	7.18e-117	431
