qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
XM_028458435.1	Gouania_willdenowi_LR131997.1	100.0	6518	0	0	1351	7868	32909503	32902986	0.0	12037.0
XM_028458435.1	Gouania_willdenowi_LR131997.1	99.71700000000001	353	1	0	1006	1358	32910971	32910619	0.0	647.0
XM_028458435.1	Gouania_willdenowi_LR131997.1	100.0	258	0	0	751	1008	32912907	32912650	9.089999999999998e-131	477.0
XM_028458435.1	Gouania_willdenowi_LR131997.1	100.0	233	0	0	71	303	32921595	32921363	7.179999999999998e-117	431.0
XM_028458435.1	Gouania_willdenowi_LR131997.1	100.0	231	0	0	521	751	32913847	32913617	9.289999999999997e-116	427.0
XM_028458435.1	Gouania_willdenowi_LR131997.1	99.40100000000001	167	1	0	354	520	32917387	32917221	1.6299999999999998e-78	303.0
XM_028458435.1	Gouania_willdenowi_LR131997.1	100.0	72	0	0	1	72	32944345	32944274	2.27e-27	134.0
XM_028458435.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	98.102	6532	63	16	1351	7868	29361898	29355414	0.0	11319.0
XM_028458435.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	98.584	353	5	0	1006	1358	29363280	29362928	3.0699999999999984e-175	625.0
XM_028458435.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	98.837	258	3	0	751	1008	29365411	29365154	9.159999999999997e-126	460.0
XM_028458435.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	99.571	233	1	0	71	303	29373652	29373420	3.339999999999999e-115	425.0
XM_028458435.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	99.56700000000001	231	1	0	521	751	29366352	29366122	4.3199999999999985e-114	422.0
XM_028458435.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	98.204	167	3	0	354	520	29369227	29369061	3.529999999999999e-75	292.0
XM_028458435.1	Gouania_willdenowiwilldenowi_NC_041052.1_RagTag	100.0	72	0	0	1	72	29395354	29395283	2.27e-27	134.0
